angDist,_RAJ2000,_DEJ2000,recno,RAJ2000,DEJ2000,Name,r_Name,SpT,n_SpT,r_SpT,ID,all,2M,SimbadName,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,pseudocolour,pseudocolour_error,visibility_periods_used,ruwe,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,panstarrs1,sdssdr13,skymapper2,urat1,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error,phot_g_mean_mag_corrected,phot_g_mean_mag_error_corrected,phot_g_mean_flux_corrected,phot_bp_rp_excess_factor_corrected,ra_epoch2000_error,dec_epoch2000_error,ra_dec_epoch2000_corr,Plx (mas),Plx_unc (mas),log (L/Lsun),e_unc (mas),b_Age (Gyr),B_Age (Gyr),Radius (Rjup),Rad_unc (Rjup),log(g) (cm/s^2),log(g)_unc (cm^s^2),Teff (K),Teff_unc (K),Mass (Mjup),Mass_unc (Mjup)
0.342358,0.9261667,-28.3780556,2,00 03 42.28,-28 22 41.0,2MASS J00034227-2822410,9,M7.5,,9,0003-2822,all,2M,2MASS J00034227-2822410,0.926262265,-28.37810003,0.0028495,0.002045,90.97,2.33312E+18,0.927703853,0.1355,-28.37874052,0.1102,24.7507,0.1628,152.0533,319.701,285.379,0.178,-144.108,0.13,258,3.1155,907.52,1.082,2.63E+01,95,1.0429,0.0341,17,1.141,0,2.21E+03,3.98E+00,17.325333,1.36E+02,1.36E+01,20.006886,3.86E+03,15.78026,1.808,4.226625,,,0,,,7.394E+16,,,,0.003376,0.109075,0.006284,17.299742,0.00335,2.26E+03,0.157,2.8493,2.0452,-0.0114,25.7,0.93,-2.95,0.03,0.5,10,1.32,0.05,5.18,0.05,2871,76,106.97,9.15
1.470493,1.012,-64.1766111,3,00 04 02.88,-64 10 35.8,2MASS J00040288-6410358,3,L1gamma,,4,0004-6410,all,2M,2MASS J00040288-6410358,1.012756634,-64.17685239,0.001341,0.0010149,166.47,4.90113E+18,1.012756634,1.0354,-64.17685239,1.3252,,,,,,,,,118,1.6447,138.81,2.659,1.04E+00,3,,,11,,0,7.71E+01,8.71E-01,20.969831,2.37E+01,1.06E+01,21.9019,1.38E+02,19.400436,2.094,2.501463,,,0,,,,,499042754,,0.012575,0.487439,0.087358,20.969831,0.012575,7.71E+01,0.687,1.0354,1.3252,-0.1273,17,1,-3.49,0.06,0.01,0.04,1.63,0.06,4.25,0.18,1896,77,19.18,6.41
0.732004,1.1451667,-40.7349444,4,00 04 34.84,-40 44 05.8,LHS 102BC,5,L5,,6,0004-4044BC,all,2M,[GDF99] LHS 102B,1.145279884,-40.73512876,0.0038302,0.0030819,72.81,4.99614E+18,1.149203207,0.1513,-40.74178766,0.1844,82.3466,0.2554,322.3922,1640.769,668.888,0.232,-1498.236,0.199,396,7.8709,1218.03,1.622,2.05E+01,95,0.9492,0.0483,20,1.294,0,8.24E+02,3.37E+00,18.397774,3.79E+01,4.99E+00,21.390856,1.65E+03,16.70431,2.049,4.686546,,,0,,,,,8953015,,0.005231,0.142891,0.00736,18.372183,0.005143,8.43E+02,0.332,3.7708,3.1543,0.1228,77.02,2.07,-3.78,0.02,0.5,10,,,,,,,,
0.147908,6.102625,-1.97225,5,00 24 24.63,-01 58 20.1,2MASS J00242463-0158201,7,M9.5,,8,0024-0158,all,2M,2MASS J00242463-0158201,6.102632253,-1.972209559,0.0036781,0.0026419,63.7,2.54176E+18,6.102300391,0.161,-1.971586395,0.1116,80.3441,0.1876,428.3551,158.834,-74.625,0.22,140.212,0.18,392,25.5813,3238.53,1.246,9.22E+01,95,1.1908,0.0314,16,2.049,0,4.29E+03,4.13E+00,16.605984,1.34E+02,6.19E+00,20.021229,7.70E+03,15.032356,1.825,4.988873,,,0,,,1.0563E+17,1.23768E+18,13336985,,0.002947,0.050261,0.004482,16.580393,0.002939,4.39E+03,0.066,3.4989,2.875,0.2586,86.6,4,-3.44,0.04,0.5,10,1.09,0.05,5.22,0.1,2390,80,79.27,11.13
0.175516,6.924875,5.0615833,7,00 27 41.97,+05 03 41.7,2MASS J00274197+0503417,11,M9.5beta,,8,0027+0503,all,2M,2MASS J00274197+0503417,6.924923893,5.061581046,0.0025295,0.0011924,76.16,2.55511E+18,6.924923893,2.4726,5.061581046,1.3063,,,,,,,,,110,9.6684,315.28,6.87,1.37E+01,3,,,10,,0,7.69E+01,1.19E+00,20.972336,3.56E+01,1.38E+01,21.458954,1.22E+02,19.52792,2.055,1.931034,,,0,,,1.1407E+17,1.23768E+18,,,0.017048,0.421275,0.107178,20.972336,0.017048,7.69E+01,0.73,2.4726,1.3063,0.3578,13.8,1.6,-3.55,0.1,0.01,0.15,1.44,0.23,4.48,0.43,1945,195,31.35,19.44
1.200535,6.983,22.3257778,8,00 27 55.92,+22 19 32.8,2MASS J00275592+2219328,12,M8,,13,0027+2219,all,2M,2MASS J00275592+2219328,6.983357099,22.32573207,0.0079312,0.0061289,64.49,2.79999E+18,6.985243946,0.3369,22.32490279,0.268,70.781,0.4267,165.8734,434.789,392.717,0.471,-186.588,0.399,353,97.4209,73918.64,3.272,2.43E+03,31,,,19,6.439,0,1.95E+04,6.08E+01,14.962327,6.46E+02,7.72E+00,18.313305,3.51E+04,13.384194,1.834,4.929111,,,0,,,1.3479E+17,1.23768E+18,,562003011,0.004366,0.01327,0.003944,14.962327,0.004366,1.95E+04,0.084,7.6292,6.501,0.1986,69.6,0.9,-2.83,0.01,0.5,10,,,,,,,,
0.174573,8.3494167,-15.3585833,10,00 33 23.86,-15 21 30.9,2MASS J00332386-1521309,15,L1-L4beta,,"4,16",0033-1521,all,2M,2MASS J00332386-1521309,8.349466987,-15.35858298,0.0150169,0.0124853,45.3,2.37384E+18,8.350859516,0.7063,-15.35847119,0.5714,43.5089,0.8095,53.7465,303.175,302.129,0.875,25.154,0.869,182,3.0028,269.81,2.769,3.03E+00,95,1.0456,0.1928,13,1.162,0,1.43E+02,8.91E-01,20.302036,2.90E+01,5.54E+00,21.682774,2.41E+02,18.790785,1.897,2.891989,,,0,,,8.95701E+16,,12129743,,0.007321,0.207399,0.051455,20.277982,0.007183,1.46E+02,0.432,13.8225,13.796,0.1825,24.8,2.5,-3.61,0.09,0.01,0.15,1.43,0.22,4.47,0.42,1887,175,29.05,18.53
0.83506,9.067375,18.3528889,12,00 36 16.17,+18 21 10.4,2MASSW J0036159+182110,18,L3.5,,14,0036+1821,all,2M,2MASSW J0036159+182110,9.067132871,18.35285741,0.0027805,0.0017674,65.72,2.79474E+18,9.071354641,0.1082,18.35341014,0.0769,114.4735,0.1381,828.645,910.118,901.582,0.164,124.354,0.122,426,-0.8693,1055.33,0.819,1.56E+01,95,1.0211,0.0248,20,0.969,0,1.85E+03,2.88E+00,17.521132,9.08E+01,1.19E+01,20.44291,3.43E+03,15.909052,1.907,4.533857,,,0,,,1.3002E+17,1.23768E+18,,542003174,0.003235,0.142514,0.005358,17.495541,0.003214,1.89E+03,0.212,2.6367,1.9755,0.3315,114.2,0.8,-3.93,0.01,0.5,10,1.01,0.07,5.21,0.17,1869,64,66.07,12.98
0.251802,11.3392917,16.5790556,14,00 45 21.43,+16 34 44.6,2MASSW J0045214+163445,21,L2beta,,4,0045+1634,all,2M,2MASSW J0045214+163445,11.33923025,16.57909334,0.0032725,0.0020472,71.04,2.78151E+18,11.34089534,0.1387,16.57888041,0.0786,65.4057,0.1754,372.8546,362.251,359.069,0.197,-47.91,0.138,565,-2.5074,978.38,0.89,9.97E+00,95,0.9915,0.029,19,0.925,0,1.02E+03,1.36E+00,18.167887,5.45E+01,7.99E+00,20.996897,1.87E+03,16.567297,1.892,4.4296,,,0,,,1.2789E+17,1.23768E+18,,,0.003115,0.159053,0.005502,18.142296,0.0031,1.04E+03,0.212,3.1656,2.2089,0.2864,57.3,2,-3.41,0.03,0.03,0.05,1.62,0.06,4.35,0.22,1987,53,22.71,7.95
4.802812,11.7515833,68.0650833,15,00 47 00.38,+68 03 54.3,WISEP J004701.06+680352.1,22,L7.5p,,22,0047+6803,all,2M,WISEP J004701.06+680352.1,11.74844782,68.06572207,0.0015474,0.0010277,147.91,5.29738E+17,11.74844782,1.1975,68.06572207,1.4201,,,,,,,,,125,12.409,431.6,3.432,6.14E+00,3,,,15,,0,7.96E+01,8.71E-01,20.935312,6.29E+01,8.84E+00,20.841179,8.41E+01,19.936214,1.847,0.904964,,,0,,,1.8967E+17,,,,0.012192,0.152525,0.083871,20.935312,0.012192,7.96E+01,0.639,1.1975,1.4201,-0.3542,82,3,-4.44,0.03,0.05,0.12,1.3,0.04,4.24,0.13,1227,30,12.13,2.97
